passenger_name,role_hint
24 DC kids.,
"3 white house aides, six Southern democrat congressmen",
30 guests,
4 other friends.,
5/28/1933 Mr. James Roosevelt,
8-66 club,"House Members, including Bryce Harlow"
[Albert \[Lasker\]],https://en.wikipedia.org/wiki/Albert_Lasker
"\[Frank Knox?\], John J. McCloy",Asst. Secretary of War
"\[If there were 30 guests, this list 14 short\] JFK and Jackie Kennedy, RFK and Ethel Skakel Kennedy, Paul “Red” Fay",Undersecretary of Navy
Abraham Ribicoff (Secretary of Health,
Acorns members,House Members
"Adele Langston Rogers, underprivileged youth group",24 kids
Adm. William W. Smith) and Mrs. Smith,"Elizabeth Smith, née Purdy"
Admiral Chester W. Nimitz,
Admiral Christian J. Peoples,
Admiral Greyson,Chairman of the Red Cross
Admiral Harold Rainsford “Betty” Stark,chief of naval operations
Admiral Louis A. Johnson,
Admiral Mark Bristol,
"Admiral Raymond Spruance, other politicians",
Admiral Sir Charles Daniel) (Third Sea Lord,
Admiral William Harrison Standley,Chief of Naval Operations
Admiral William Leahy (White House Chief of Staff,
"Adms. Ernest King, Frederick J. Horne, Aubrey Fitch",
Adolfo Lopez Mateos,President of Mexico
Agency liaison personnel,
Aid to Chief of Naval Operations Lt. Cmdr. Edward Winslow,
Aid to Chief of Naval Operations Lt. Cmdr. Louis L. Meier,
Albert W. Watson),
"Alexander M. Haig, Jr.",Assistant
Alexander),
Alfred Stevens,LA FFA
Allen Dulles,Director of CIA
Ambassador Alexander A. Matsas,Greek Ambassador to US
Ambassador Anatoly Dobrynin,
"Ambassador Averell Harriman, Hon. Llewellyn Thompson",
Ambassador Carlos Martins Pereira e Souza,
ambulatory patients from Children’s Hospital,
Anatoly Dobrynin,Soviet Ambassador to US
and Agent Wood,Secret Service
"and Alexander M. Haig, Jr.",assistant
"and August ""Gus"" Adolph Gennerich",Secret Service
and Curtis “Buzzie” Roosevelt Dall,Grandson of FDR Anna Roosevelt Halsted’s son
and Curtis “Buzzy” Roosevelt Dall,Grandson of FDR
and H.R. Haldeman,assistant
and John Gonella join via jet boat.,
and Mr. DeWitt Wallace,"Co-Chairman, The Reader’s Digest, Pleasantville, New York"
and Mr. John Sargent,Partners with James Roosevelt in insurance and liquor business
and Tom Mann,
and William E. Timmons),assistant
Andreas Papandreou,Greek Minister Alternate of Economic Coordination
Andrey Aleksandrov,Assistant to the General Secretary
Angier Biddle Duke,Chief of Protocol
Anna Eleanor “Sistie” Roosevelt Dal,Granddaughter of FDR
Anna Eleanor “Sistie” Roosevelt Dall,"Granddaughter of FDR, Anna Roosevelt Halsted’s daughter"
"Anna Roosevelt Dall Boettiger Halsted, Anna Eleanor “Sistie” Roosevelt Dall",
Arleigh Burke,Chief of Naval Operations
Arthur M. Hyde,Secretary of Agriculture
Ashton Gonella,
"Ashton Gonella, Hon.",
"Assistant H.R. Haldeman, Assistant John D. Ehrlichman, Counsellor Bryce N. Harlow",
"Assistant Secretary William Bundy, Sir John Bunting)",
Attorney General,
"Attorney General Edward Levi, House Judiciary Committee Members",
Attorney General Mitchell,
"August ""Gus"" Adolph Gennerich",Secret Service
Ayub Khan),President of Pakistan
Barbara Cushing,"lka Barbara ""Babe"" Paley"
"Barber B. Conable, Jr.",R-NY
Basil R. Jackson,Anglo Persian Oil Company representative in USA
"Bedell Smith, members and principal assistants of OCB, Allen W. Dulles (Director of Central Intelligence",DCI
Bess,
"Big Brothers, Mr. J. R. Black",
Bill Walton),
"Bob Hope, Lucille Ball, Phyllis Diller, Richard W. Arendsee",Founder of the Sequoia Trust Fund
Bob Kinston,?
Bobby Baker,
Brent Scowcroft,
"Brent Scowcroft, possibly George Anderson, Chairman of President’s Foreign Intelligence Advisory Board.",PFIAB
brigadier general Sherman Miles,head of the Military Intelligence Division of the U.S. Army
British Field Marshal Bernard Law Montgomery “Monty”,
"Bryce Harlow, members of Harlow’s staff, House leaders",
"Bryce Harlow, members of Harlow’s staff, ½ of Senate GOP",
Bryce N. Harlow,
"Brycer Harlow, members of Harlow’s staff, Sos members",House Members
"C. E. Wilson, Judge Patterson, Adm. Arthur W. Radford, Adm. Samuel Murray Robinson",Sec. Stimson regrets
"C.G. Rebozo Robert H. Finch) (Secretary of Health, Education",
cabinet wife,
"cabinet wife Barbara Masters Laird, underprivileged youth group",24 kids
"cabinet wife Carol Finch, underprivileged youth group",
"cabinet wife Helen Bernstein Burns, underprivileged youth group",24 kids
"cabinet wife Jennie Volpe, underprivileged youth group",24 kids
"cabinet wife Lenore Romney, underprivileged youth group",24 kids
"cabinet wife Marian Mayo, underprivileged youth group",24 kids
"cabinet wife Martha Wood Hardin, underprivileged youth group",24 kids
cabinet wife Mrs. Donald Rumsfeld,"Joyce Rumsfeld, nee Pierson"
Calvin Dooley,CA FFA
"Capt. Chuck Robb, Warrie Lynn Smith",
Capt. Frank E. Beatty,USN
Capt. Tazewell Shepard,JFK’s Naval Aide
Capt. Walter N. Vernou,Naval Aide
Capt. William R. Smedberg III,aide to Secretary of the Navy
Capt. Wilson Brown),Naval Aide
Capt. Wilson Brown) (Navel Aide,
Captain,
Captain and Mrs.,Frank?
"Captain B. Beck, Mary Slater",
"Captain Barry Beck, Mary Slater, Joe Califano, Mr.",
"Captain Beck, Mary Slater, Marie Fehmer, John Criswell, Lynda Bird",
Captain Bird,
Captain Frank Fletcher,
Captain Joel T. Boone,White House physician
Captain Joel Thompson Boone,White House physician
Captain Morton Deyo,naval aide to Sec. of Navy
Captain Russell Train,Naval Aide
"Captain Walter Vernou commanded Sequoia, assisted by Wilbur Carr, Francis White",
Captain William Coad,Captain of Sequoia
"Carl Albert, Jerry Ford, Harley Staggers, Bill Springer, Wright Patman, Bill Widnall, Wilbur Mills, John Byrnes, Peter Flanigan, Jon Rose, Ken BeLieu, Gene Cowen, Dick Cook, Bill Timmons)",
"Carl Faircloth, Betsy Forte, Joe Hemning, Robert H. Jones, Walter Jones, Blanch Kacerick, Mrs. John G. Ladd, Victor Morris, Walter Morris, Edna Morris, Rexie Morgan, Aliene Morrow, Kathleen Mathews, Estella May, Francis W. Mulcahy, Samuel Pardoe, Sylvia Pointer, Larry Rice, Lucille Robinson, Gene Roston, Matthew Warren, Essie Watts, Dorothy Wesley",
"Carol Welch, VM Gary Jay",escort of Carol Welch
"Caroline Smyth, Mayo",
"Carolyn Abernathy, Mindy Aistis, Ola Mae Allen, Wylie W. Barrow, William Bland, Jr., Steven Boyd, Vernal Bryant, Ruben Cantu, Mrs. Richard England",Lois
"Cathy Shaw, Larry",
Cdr. Alan Brown,2 regrets
Ch. Phrm. George A. Fox,US Navy
Chairman of the Commerce Committee),
Chairman of the Senate Committee on Finance),
Chairman of the Senate Foreign Relations Committee),
Chairmen of the Regulatory Agencies,
Chairmen of the Senate Standing Committees,DEMOCRAT
Chairmen of the Standing House Committees,DEMOCRAT
Charles Addams,Cartoonist
"Charles Chamberlain, Max L. Friedersdorf, the ACORNS",
Charles E. “Chip” Bohlen,\*\*\*
Charles L. Bartlett),journalist
Charles Spalding,Broadway producer
Charles West,White House Congressional Liaison
"Charlie Shultze, Mr.",
Chester Nimitz,Chief of Naval Operations
chief investigator for the Federal Emergency Relief Administration),
"Chief Justice Earl Warren, Nina Warren, Tom Clark, Albert Goldberg, presumably other members of the Supreme Court at the time",
Chief of Naval Operations William M. Fechteler,
Chief Pharmacist George A. Fox,US Navy
"Chief Pharmacist George A. Fox, August ""Gus"" Adolph Gennerich",Secret Service
Christian A. Herter,Secretary of State
Chuck Robb,
"Chuck Robb, Mr.",
Clarence Mott Wooley,"President of American Radiator Company, now known as American Standard Companies"
Clark M. Clifford,Asst. Naval Aide to President
Clark MacGregor,Campaign Director for the Committee for the Reelection of the President
Clark “Cooty” Wallace Thompson,
Claude A. Swanson,Sec. of Navy
Claude Augustus Swanson,Sec. of the Navy
