url,source_type,source_origin,publication_date,publication,headline,page,notes
https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\,Web,dropbox.com,,dropbox.com,,,[Newspapers](https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\).%20Sequoia%20History%20-%20Pr
https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8(a,Web,dropbox.com,,dropbox.com,,,[https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8(a).%20Sequoia%20History%20-%20Pre-
https://www.dropbox.com/s/4zvjhlliil1z4zz/1927-03-30_Dr__Ogden_M__Edwards.jpg?dl=0,Web,dropbox.com,1927-03-30,dropbox.com,,,[Pittsburgh Post Gazette](https://www.dropbox.com/s/4zvjhlliil1z4zz/1927-03-30_Dr__Ogden_M__Edwards.jpg?dl=0) nan
https://www.dropbox.com/s/4eumhp5tsoax7e3/shot%20of%20USS%20SEQUOIA_1984.187.23129F_%281927%29.jpg?dl=0,Web,dropbox.com,,dropbox.com,,,[Mystic Seaport Museum (Photo \- Rosenfeld Collection)](https://www.dropbox.com/s/4eumhp5tsoax7e3/shot%20of%20USS%20SEQUOIA_1984.187.23129F_%281927%29.jpg?dl=0) nan
https://archive.org/details/WPA286510/page/n161/mode/2up?q=sequoia,Web,archive.org,,archive.org,,,[https://archive.org/details/WPA286510/page/n161/mode/2up?q=sequoia](https://archive.org/details/WPA286510/page/n161/mode/2up?q=sequoia) nan
https://www.dropbox.com/s/dgrrzmjk2m3eg4f/Sequoia%20-%20Miami%20Races%20%28March%201929%29.png?dl=0,Web,dropbox.com,,dropbox.com,,,[Mystic Seaport Museum (Photo \- Rosenfeld Collection)](https://www.dropbox.com/s/dgrrzmjk2m3eg4f/Sequoia%20-%20Miami%20Races%20%28March%201929%29.png?dl=0) [Biscayne Bay Regatta](https://hydropla
"https://hydroplanehistory.com/races/1929_biscayne_bay_regatta_miami_sets_a_fast_pace.html#:~:text=The%20first%20speed%20boat%20event,made%20upon%20the%20water%2C%20and",Web,hydroplanehistory.com,,hydroplanehistory.com,,,"ld Collection)](https://www.dropbox.com/s/dgrrzmjk2m3eg4f/Sequoia%20-%20Miami%20Races%20%28March%201929%29.png?dl=0) [Biscayne Bay Regatta](https://hydroplanehistory.com/races/1929_biscayne_bay_regatta_miami_sets_a_fast_pace.html#:~:text=The%20first%20speed%20boat%20event,made%20"
https://www.dropbox.com/s/7zixfvehh1myn4x/1930-6-20_Sequoia_New_London.png?dl=0,Web,dropbox.com,,dropbox.com,,,[Mystic Seaport Museum (Photo \- Rosenfeld Collection)](https://www.dropbox.com/s/7zixfvehh1myn4x/1930-6-20_Sequoia_New_London.png?dl=0) nan
"https://en.wikipedia.org/wiki/John_Cadman,_1st_Baron_Cadman",Web,wikipedia.org,1930-07-03,wikipedia.org,,,"20Pre-Presidential/5.%20Anglo-Persian%20%2B%20Standard%20Oil%20\(Photos\)/2.%20Diary%20Entrees?preview=1930-07-03.JPG) of [Sir John Cadman](https://en.wikipedia.org/wiki/John_Cadman,_1st_Baron_Cadman) (Chairman of Anglo Persian Oil Company); The History of the British Petroleum C"
https://www.amazon.com/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Ronald+W.+Ferrier&text=Ronald+W.+Ferrier&sort=relevancerank&search-alias=books,Web,amazon.com,,amazon.com,,,"y); The History of the British Petroleum Company 2 part set (History of British Petroleum) (Volume 1\) July 30, 2009 by [Ronald W. Ferrier](https://www.amazon.com/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Ronald+W.+Ferrier&text=Ronald+W.+Ferrier&sort=relevancerank&search-ali"
https://www.newspapers.com/paper/the-day/35758/,Newspaper,newspapers.com,,New York Times,,8,"[**New London, Connecticut • Wed, Sep 17, 1930 Page 8**](https://www.newspapers.com/paper/the-day/35758/) [New York Times clipping, on sale](https://www.dropbox.com/s/7vhz30bmdvgijnl/1931%3A05%3A09"
