url,source_type,source_origin,publication_date,publication,headline,page,notes
https://drive.google.com/file/d/1Sfcldxsc9x0akH1Fn0mNMCkAkyaAOGLS/view?usp=drive_link,Web,google.com,,google.com,,,s%20Yacht%20.pdf?dl=0) [1931\_One\_Folder\_Collection\_Series\_Acquisition\_of\_Sequoia\_Copies\_of\_Licenses\_and\_a\_Bill\_of\_Sale .pdf](https://drive.google.com/file/d/1Sfcldxsc9x0akH1Fn0mNMCkAkyaAOGLS/view?usp=drive_link) nan
https://drive.google.com/file/d/1b6-61P2T92nTo_RfgwyiqtavsXHWPxl3/view?usp=drive_link,Web,google.com,,google.com,,15.0,"*Sequoia*: Presidential Yacht, Giles Kelly, p. 15; [1931.04.25\_Courier\_Post\_pg3.jpg](https://drive.google.com/file/d/1b6-61P2T92nTo_RfgwyiqtavsXHWPxl3/view?usp=drive_link)and *[1931.04.25\_Republican\_and\_Herald\_pg1.jpg](ht"
https://drive.google.com/file/d/1P0q82KbjApYNlEhPVqTQyXr9o15YFleo/view?usp=drive_link,Web,google.com,,google.com,,,](https://drive.google.com/file/d/1b6-61P2T92nTo_RfgwyiqtavsXHWPxl3/view?usp=drive_link)and *[1931.04.25\_Republican\_and\_Herald\_pg1.jpg](https://drive.google.com/file/d/1P0q82KbjApYNlEhPVqTQyXr9o15YFleo/view?usp=drive_link)* *[1931.04.26\_Atlanta\_Constitution\_President\_Goes
https://drive.google.com/file/d/1zV3fbV_QSIh7SMlR3xfFSJQXbn5Kz0YU/view?usp=drive_link,Web,google.com,,google.com,,,file/d/1P0q82KbjApYNlEhPVqTQyXr9o15YFleo/view?usp=drive_link)* *[1931.04.26\_Atlanta\_Constitution\_President\_Goes\_to\_Cape\_Henry\_pg10](https://drive.google.com/file/d/1zV3fbV_QSIh7SMlR3xfFSJQXbn5Kz0YU/view?usp=drive_link)* *[1931.04.26\_The\_Philadelphia\_Inquirer.jpg](https
https://drive.google.com/file/d/1oBnU901Tru3PzvPjVt39CesycqgjFcRl/view?usp=drive_link,Web,google.com,,google.com,,2.0,g10](https://drive.google.com/file/d/1zV3fbV_QSIh7SMlR3xfFSJQXbn5Kz0YU/view?usp=drive_link)* *[1931.04.26\_The\_Philadelphia\_Inquirer.jpg](https://drive.google.com/file/d/1oBnU901Tru3PzvPjVt39CesycqgjFcRl/view?usp=drive_link)* *Page 2:[1932\_Box\_389\_Presidential\_Subject\_File
https://drive.google.com/file/d/13XpHbxfyntX0w8rs5JqRuFm4Euby9Kol/view?usp=drive_link,Web,google.com,,google.com,,2.0,ive_link)* *Page 2:[1932\_Box\_389\_Presidential\_Subject\_File\_14\_Pages\_of\_Correspondence\_related\_to\_Hoovers\_use\_of\_Sequoia.pdf](https://drive.google.com/file/d/13XpHbxfyntX0w8rs5JqRuFm4Euby9Kol/view?usp=drive_link)* [It was Tyrer who executed purchase of Sequoia on be
https://drive.google.com/file/d/1HqbgfiD3SJ3rMbbnqLklYJrTvZGM91W5/view?usp=drive_link,Web,google.com,,google.com,,,"*Sequoia*: Presidential Yacht, Giles Kelly, pp. 15-16;[1932.02.27\_The\_Miami\_Herald.jpg](https://drive.google.com/file/d/1HqbgfiD3SJ3rMbbnqLklYJrTvZGM91W5/view?usp=drive_link) [1932.02.28\_F\_Visit\_to\_Sea\_Island\_Multiple\_Sou"
https://drive.google.com/drive/folders/1KzojFc91-Z8BBgs4rd61MCzzaefK13hE?usp=sharing,Web,google.com,,google.com,,,//drive.google.com/file/d/1HqbgfiD3SJ3rMbbnqLklYJrTvZGM91W5/view?usp=drive_link) [1932.02.28\_F\_Visit\_to\_Sea\_Island\_Multiple\_Sources](https://drive.google.com/drive/folders/1KzojFc91-Z8BBgs4rd61MCzzaefK13hE?usp=sharing); Pages 5-15: [1932\_Box\_389\_Presidential\_Subject\_F
https://drive.google.com/drive/folders/1PmqkayrpfS1U7aw0Wl0uvhdpxyRyV895?usp=sharing,Web,google.com,,Time,,,"16; [Time magazine article](http://content.time.com/time/subscriber/article/0,33009,744223,00.html); [1932.08.15-17\_F\_Multiple\_Sources](https://drive.google.com/drive/folders/1PmqkayrpfS1U7aw0Wl0uvhdpxyRyV895?usp=sharing) [https://hoover.archives.gov/research/collections/manu"
https://drive.google.com/file/d/1lLLsPeY-I1ARO9mp30oR5hfsaF3n4yTQ/view?usp=drive_link,Web,google.com,,The Salisbury Times,,2.0,://nyti.ms/3BWoX6L) * [*FIRST DAY ANGLING IN CHESAPEAKE BAY \- Page 2*](https://nyti.ms/3ldUf31) * *[1932.08.16\_The\_Salisbury\_Times.jpg](https://drive.google.com/file/d/1lLLsPeY-I1ARO9mp30oR5hfsaF3n4yTQ/view?usp=drive_link)* * *[1932.08.16\_Hoover\_gets\_nice\_mess\_of\_trout\
