stg_voyage_id,seq,stop
1,1,Mathis Shipbuilding Camden NJ
2,1,Camden NJ
2,2,The Columbia Yacht Club via Delaware & Raritan Canal
3,1,"Miami, FL"
4,1,"Miami, FL"
5,1,"New London, CT"
6,1,"Portland, ME"
6,2,"Rockland, ME"
6,3,NYC
7,1,Miami Pier 5
8,1,"St Petersburg, FL"
9,1,"Miami, FL"
10,1,Miami Pier 5
11,1,"New London, CT"
12,1,New York Yacht Club (“NYYC”) Landing
12,2,Manhattan NY
12,3,National Golf Links of America (South Hampton
12,4,NY)
12,5,Greenwich CT
12,6,Manhattan NY.
13,1,"New London, CT"
14,1,"Cape Henry, VA"
15,1,Potomac River
16,1,"Charleston, SC"
16,2,"Sea Island, GA"
16,3,"Palm Beach, FL"
17,1,Navy Yard
17,2,Potomac River
17,3,Chesapeake Bay
18,1,"Savannah, GA"
18,2,"Sapelo Island, GA"
18,3,"Palm Beach, FL"
19,1,Potomac River
20,1,Potomac River
21,1,"Mount Vernon, VA"
22,1,Potomac River
23,1,"Thomas Point, MD"
24,1,"Quantico, VA"
24,2,"Piney Point, MD"
24,3,"Mount Vernon, VA"
25,1,DC Navy Yard
26,1,Potomac River
27,1,"Mount Vernon, VA"
27,2,"Quantico, VA"
27,3,Chesapeake Bay
27,4,"Cornfield Harbor, MD"
27,5,"Piney Point, MD"
27,6,"Blackistone and Heron Islands, MD"
28,1,"Mount Vernon, VA"
28,2,"Blackistone and Heron Islands, MD"
29,1,Potomac River
30,1,"Blackistone and Heron Islands, MD"
31,1,Sequoia departed the Washington Navy Yard shortly
31,2,cruising southward along the Potomac River toward Fort Washington before returning. The yacht was decorated with American flags and the colors of various Latin American republics.
32,1,"Mattawoman Creek, MD"
32,2,"Mount Vernon, VA"
33,1,"Quantico, VA"
33,2,"Piney Point, MD"
33,3,Crisfield
33,4,MD (disembarked)
33,5,"Solomons Island, MD"
33,6,"Benedict, MD"
34,1,"Mount Vernon, VA"
35,1,"Maryland Point, MD"
36,1,"Quantico, VA"
36,2,"Thomas Point, MD"
38,1,Hallowing Point
38,2,VA (Potomac River)
39,1,"Mount Vernon, VA"
40,1,Naval Academy
40,2,"Annapolis, MD"
40,3,"Mouth of Chester River, MD"
40,4,"Brown’s Landing, MD"
41,1,Potomac River
44,1,DC Navy Yard
45,1,"New London, CT"
46,1,"Mount Vernon, VA"
47,1,Potomac River
48,1,Potomac River
50,1,Annapolis
50,2,MD (start and finish- routes in between unknown)
51,1,"Yorktown, VA"
51,2,"Navy Yard, DC"
52,1,Navy Yard
52,2,"Mt. Vernon, VA"
52,3,Navy Yard
53,1,Navy Yard
53,2,"Mount Vernon, VA"
53,3,"Maryland Point, MD"
53,4,"Quantico, VA"
53,5,Navy Yard
54,1,DC Navy Yard
56,1,"Annapolis, MD"
57,1,"Sandy Point, VA"
57,2,"Navy Yard, DC"
58,1,"Annapolis, MD"
58,2,"Honga River, MD"
58,3,"Solomon’s Island, MD"
58,4,"West River, MD"
59,1,"New London, CT"
60,1,Reina Mercedes Wharf
60,2,"Annapolis, MD"
60,3,Kedges Straits
60,4,Reina Mercedes Wharf
60,5,"Annapolis, MD"
61,1,Annapolis MD
61,2,"Jefferson Island Rod and Gun Club, MD"
62,1,Annapolis
62,2,MD (Reina Mercedes Wharf): Herring Bay
62,3,"MD: Kedges Straits, MD"
62,4,Navy Yard
63,1,"Kedges Straits, MD"
64,1,(Motored
64,2,Mouth of Rappahannock River
64,3,"board USS Sequoia) Piney Point, MD"
64,4,San Marcos Wreck)
64,5,Chesapeake Bay
65,1,Annapolis
65,2,"Herring Bay, MD"
65,3,"Solomon’s Island, MD"
65,4,Navy Yard
66,1,"Mount Vernon, VA"
67,1,"Mount Vernon, VA"
68,1,"Haines Point, DC"
69,1,"Haines Point, DC"
70,1,"Haines Point, DC"
71,1,"Cambridge, MD"
71,2,"Blackistone Island, MD"
71,3,"Mount Vernon, VA"
74,1,"Mount Vernon, VA"
77,1,DC Navy Yard
78,1,"Banana River Naval Air Station, FL"
80,1,Potomac River
81,1,Potomac River
84,1,Washington Navy Yard
85,1,Washington Navy Yard
