stg_voyage_id,title,start_date,end_date,owner,location,time_text,passengers_raw,additional_info,sources,additional_sources,notes
1,1925-10-27,1925-10-27,,"Emily and Charles Cadwalader (October 1925 to May 3, 1928\)",Mathis Shipbuilding Camden NJ,Late Morning,"Mr. Richard M. Cadwalader, Mrs. Richard M. Cadwalader (Emily Cadwalader, nee Roebling), Mrs. William Glasgow of Chestnut Hill, PA, Mrs Margaret Wright of Newport, RI","Sequoia II launched and christened \- The Cadwalder party arrived at the shipyard in two Rolls Royces, Mrs. Cadwalder christened Sequoia II with a bottle of champagne and then the party had lunch aboard Sequoia.",[Newspapers](https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\).%20Sequoia%20History%20-%20Pre-Presidential/1.%20Sequoia%20-%20Launch%2010-27-1925/*P-%201925%3A10%3A27%20-%20Palatial%20Yacht%20Launched%20Here),[photo album](https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\).%20Sequoia%20History%20-%20Pre-Presidential/1.%20Sequoia%20-%20Launch%2010-27-1925/Charles%20N.%20Pearce%20\(Photo%20Album\)),
2,1925-10-?? to 1925-11-??,1925-10-??,1925-11-??,"Emily and Charles Cadwalader (October 1925 to May 3, 1928\)",Camden NJ to The Columbia Yacht Club via Delaware & Raritan Canal,,,,"Sequoia: Presidentia l Yacht, Giles",,"Passengers Arne Hauger (crew member) Kelly, p. 6;"
3,1925-11-?? to 1926-04-??,1925-11-??,1926-04-??,"Emily and Charles Cadwalader (October 1925 to May 3, 1928\)","Miami, FL",,"Mr. Richard M. Cadawalder, Mrs. Richard M. Cadawalder (Emily Cadwalder, nee Roebling)",,[https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8(a).%20Sequoia%20History%20-%20Pre-Presidential/2.%20Sequoia%20-%20Cadwalder%20Use/01%3A21%3A1926%20Sequoia-II%20at%20Flamingo%20Docks%20The%20Miami%20News)?preview=01%3A21%3A1926+Sequoia-II+at+Flamingo+Docks.pdf](https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\).%20Sequoia%20History%20-%20Pre-Presidential/2.%20Sequoia%20-%20Cadwalder%20Use/01%3A21%3A1926%20Sequoia-II%20at%20Flamingo%20Docks%20The%20Miami%20News\)?preview=01%3A21%3A1926+Sequoia-II+at+Flamingo+Docks.pdf),,
4,1926-11-?? to 1927-04-??,1926-11-??,1927-04-??,"Emily and Charles Cadwalader (October 1925 to May 3, 1928\)","Miami, FL",,"Dr. Ogden f. Edwards, and Mrs. Ogden f. Edwards (\*\*\*) and their daughter (Miss Katherine Harkness Edwards)",,[Pittsburgh Post Gazette](https://www.dropbox.com/s/4zvjhlliil1z4zz/1927-03-30_Dr__Ogden_M__Edwards.jpg?dl=0),,
5,1927-06-24,1927-06-24,,"Emily and Charles Cadwalader (October 1925 to May 3, 1928\)","New London, CT",,,[Harvard-Yale Regatta Thames River](https://en.wikipedia.org/wiki/Harvard%E2%80%93Yale_Regatta#Results),[Mystic Seaport Museum (Photo \- Rosenfeld Collection)](https://www.dropbox.com/s/4eumhp5tsoax7e3/shot%20of%20USS%20SEQUOIA_1984.187.23129F_%281927%29.jpg?dl=0),,Houston/Galveston Mexico Cuba Baltimore to Maine NY
6,1928-08-28,1928-08-28,,"William Harris Dunning, Jr. (May 3, 1928 to March 24, 1931\)","Portland, ME, Rockland, ME, NYC",,"William H. Dunning, Jr. \+ 9",,"Evening Express Portland, Maine August 28, 1928 Page 20",,
7,1928-10-27,1928-10-27,,"William Harris Dunning, Jr. (May 3, 1928 to March 24, 1931\)",Miami Pier 5,,"William H. Dunning, Jr. \+ 9",Arrived from Jacksonville and plans to set out for Houston next day,"The Miami Herald August 27, 1928",,
8,1929-03-03,1929-03-03,,"William Harris Dunning, Jr. (May 3, 1928 to March 24, 1931\)","St Petersburg, FL",,"William H. Dunning, Jr.",,[https://archive.org/details/WPA286510/page/n161/mode/2up?q=sequoia](https://archive.org/details/WPA286510/page/n161/mode/2up?q=sequoia),,
9,1929-03-21,1929-03-21,,"William Harris Dunning, Jr. (May 3, 1928 to March 24, 1931\)","Miami, FL",,,Miami Hydroplane Races,[Mystic Seaport Museum (Photo \- Rosenfeld Collection)](https://www.dropbox.com/s/dgrrzmjk2m3eg4f/Sequoia%20-%20Miami%20Races%20%28March%201929%29.png?dl=0),"[Biscayne Bay Regatta](https://hydroplanehistory.com/races/1929_biscayne_bay_regatta_miami_sets_a_fast_pace.html#:~:text=The%20first%20speed%20boat%20event,made%20upon%20the%20water%2C%20and)",
10,1929-04-08,1929-04-08,,"William Harris Dunning, Jr. (May 3, 1928 to March 24, 1931\)",Miami Pier 5,,"William H. Dunning, Jr. \+ 9",Arrived from Jacksonville and plans to set out for Houston next day,"The Miami Herald April 8, 1929 Page 5",,
